10/1/2017,0,0,0
10/2/2017,0,0,0
10/3/2017,0,0,0
10/4/2017,0,0,0
10/5/2017,0,0,0
10/6/2017,0,0,0
10/7/2017,2,0,1
10/8/2017,1,0,0.5
10/9/2017,5,0,2.5
10/10/2017,4,0,2
10/11/2017,3,0,1.5
10/12/2017,8,0,4
10/13/2017,6,0,3
10/14/2017,4,1,2.5
10/15/2017,1,0,0.5
10/16/2017,1,0,0.5
10/17/2017,1,2,1.5
10/18/2017,3,2,2.5
10/19/2017,2,1,1.5
10/20/2017,2,0,1
10/21/2017,1,0,0.5
10/22/2017,1,0,0.5
10/23/2017,1,0,0.5
10/24/2017,1,0,0.5
10/25/2017,1,2,1.5
10/26/2017,5,4,4.5
10/27/2017,10,3,6.5
10/28/2017,9,2,5.5
10/29/2017,6,2,4
10/30/2017,6,1,3.5
10/31/2017,6,0,3
11/1/2017,5,0,2.5
11/2/2017,8,0,4
11/3/2017,7,0,3.5
11/4/2017,8,0,4
11/5/2017,7,0,3.5
11/6/2017,10,0,5
11/7/2017,9,0,4.5
11/8/2017,9,0,4.5
11/9/2017,9,0,4.5
11/10/2017,10,0,5
11/11/2017,10,4,7
11/12/2017,9,5,7
11/13/2017,8,5,6.5
11/14/2017,10,4,7
11/15/2017,8,5,6.5
11/16/2017,9,5,7
11/17/2017,8,5,6.5
11/18/2017,8,5,6.5
11/19/2017,7,5,6
11/20/2017,10,6,8
11/21/2017,9,6,7.5
11/22/2017,9,6,7.5
11/23/2017,11,6,8.5
11/24/2017,10,5,7.5
11/25/2017,10,5,7.5
11/26/2017,16,5,10.5
11/27/2017,14,5,9.5
11/28/2017,13,5,9
11/29/2017,13,5,9
11/30/2017,13,5,9
12/1/2017,13,5,9
12/2/2017,13,5,9
12/3/2017,13,5,9
12/4/2017,16,6,11
12/5/2017,17,6,11.5
12/6/2017,17,6,11.5
12/7/2017,17,6,11.5
12/8/2017,16,10,13
12/9/2017,18,16,17
12/10/2017,17,15,16
12/11/2017,16,16,16
12/12/2017,16,16,16
12/13/2017,17,14,15.5
12/14/2017,17,14,15.5
12/15/2017,21,16,18.5
12/16/2017,20,18,19
12/17/2017,18,19,18.5
12/18/2017,18,19,18.5
12/19/2017,18,24,21
12/20/2017,18,24,21
12/21/2017,18,22,20
12/22/2017,23,21,22
12/23/2017,23,20,21.5
12/24/2017,22,21,21.5
12/25/2017,20,23,21.5
12/26/2017,20,24,22
12/27/2017,20,26,23
12/28/2017,20,27,23.5
12/29/2017,20,26,23
12/30/2017,19,26,22.5
12/31/2017,18,26,22
1/1/2018,20,27,23.5
1/2/2018,20,27,23.5
1/3/2018,20,27,23.5
1/4/2018,20,26,23
1/5/2018,20,24,22
1/6/2018,20,24,22
1/7/2018,20,24,22
1/8/2018,25,24,24.5
1/9/2018,25,24,24.5
1/10/2018,24,24,24
1/11/2018,23,24,23.5
1/12/2018,27,29,28
1/13/2018,26,30,28
1/14/2018,25,30,27.5
1/15/2018,24,30,27
1/16/2018,24,29,26.5
1/17/2018,29,29,29
1/18/2018,26,28,27
1/19/2018,22,28,25
1/20/2018,25,28,26.5
1/21/2018,28,28,28
1/22/2018,30,28,29
1/23/2018,31,28,29.5
1/24/2018,29,28,28.5
1/25/2018,30,28,29
1/26/2018,31,27,29
1/27/2018,34,28,31
1/28/2018,35,29,32
1/29/2018,31,33,32
1/30/2018,31,33,32
1/31/2018,31,34,32.5
2/1/2018,31,35,33
2/2/2018,30,39,34.5
2/3/2018,31,37,34
2/4/2018,32,36,34
2/5/2018,32,35,33.5
2/6/2018,32,34,33
2/7/2018,32,34,33
2/8/2018,32,34,33
2/9/2018,34,35,34.5
2/10/2018,38,38,38
2/11/2018,38,40,39
2/12/2018,38,40,39
2/13/2018,40,39,39.5
2/14/2018,43,41,42
2/15/2018,42,45,43.5
2/16/2018,40,44,42
2/17/2018,40,43,41.5
2/18/2018,40,42,41
2/19/2018,39,42,40.5
2/20/2018,40,41,40.5
2/21/2018,40,39,39.5
2/22/2018,38,45,41.5
2/23/2018,34,45,39.5
2/24/2018,37,45,41
2/25/2018,40,46,43
2/26/2018,39,45,42
2/27/2018,38,46,42
2/28/2018,37,47,42
3/1/2018,43,47,45
3/2/2018,46,49,47.5
3/3/2018,46,46,46
3/4/2018,45,46,45.5
3/5/2018,47,53,50
3/6/2018,44,50,47
3/7/2018,43,48,45.5
3/8/2018,43,47,45
3/9/2018,41,47,44
3/10/2018,41,59,50
3/11/2018,40,55,47.5
3/12/2018,40,58,49
3/13/2018,40,57,48.5
3/14/2018,39,54,46.5
3/15/2018,38,53,45.5
3/16/2018,37,50,43.5
3/17/2018,36,51,43.5
3/18/2018,36,57,46.5
3/19/2018,36,56,46
3/20/2018,36,54,45
3/21/2018,36,57,46.5
3/22/2018,36,61,48.5
3/23/2018,35,59,47
3/24/2018,33,59,46
3/25/2018,32,59,45.5
3/26/2018,32,57,44.5
3/27/2018,30,56,43
3/28/2018,28,55,41.5
3/29/2018,27,55,41
3/30/2018,26,55,40.5
3/31/2018,25,54,39.5
4/1/2018,23,54,38.5
4/2/2018,22,54,38
4/3/2018,23,56,39.5
4/4/2018,26,53,39.5
4/5/2018,23,53,38
4/6/2018,23,53,38
4/7/2018,22,54,38
4/8/2018,21,55,38
4/9/2018,20,56,38
4/10/2018,19,56,37.5
4/11/2018,17,56,36.5
4/12/2018,16,58,37
4/13/2018,16,58,37
4/14/2018,19,65,42
4/15/2018,23,67,45
4/16/2018,25,78,51.5
4/17/2018,26,73,49.5
4/18/2018,22,76,49
4/19/2018,22,73,47.5
4/20/2018,23,71,47
4/21/2018,22,71,46.5
4/22/2018,20,69,44.5
4/23/2018,18,80,49
4/24/2018,16,79,47.5
4/25/2018,14,77,45.5
4/26/2018,13,73,43
4/27/2018,11,70,40.5
4/28/2018,14,69,41.5
4/29/2018,12,66,39
4/30/2018,11,63,37
5/1/2018,9,62,35.5
5/2/2018,7,70,38.5
5/3/2018,6,68,37
5/4/2018,2,66,34
5/5/2018,0,65,32.5
5/6/2018,0,64,32
5/7/2018,1,63,32
5/8/2018,0,62,31
5/9/2018,0,72,36
5/10/2018,0,73,36.5
5/11/2018,0,71,35.5
5/12/2018,0,68,34
5/13/2018,0,65,32.5
5/14/2018,0,62,31
5/15/2018,0,59,29.5
5/16/2018,0,58,29
5/17/2018,0,56,28
5/18/2018,0,54,27
5/19/2018,0,54,27
5/20/2018,0,54,27
5/21/2018,0,58,29
5/22/2018,0,53,26.5
5/23/2018,0,53,26.5
5/24/2018,2,49,25.5
5/25/2018,0,46,23
5/26/2018,0,43,21.5
5/27/2018,0,39,19.5
5/28/2018,0,36,18
5/29/2018,0,34,17
5/30/2018,0,37,18.5
5/31/2018,0,38,19
6/1/2018,0,36,18
6/2/2018,0,34,17
6/3/2018,0,31,15.5
6/4/2018,0,27,13.5
6/5/2018,0,21,10.5
6/6/2018,0,18,9
6/7/2018,0,14,7
6/8/2018,0,12,6
6/9/2018,0,6,3
6/10/2018,0,2,1
6/11/2018,0,0,0
6/12/2018,0,0,0
6/13/2018,0,0,0
6/14/2018,0,0,0
6/15/2018,0,0,0
6/16/2018,0,0,0
6/17/2018,0,0,0
6/18/2018,0,0,0
6/19/2018,0,0,0
6/20/2018,0,0,0
6/21/2018,0,0,0
6/22/2018,0,0,0
6/23/2018,0,0,0
6/24/2018,0,0,0
6/25/2018,0,0,0
6/26/2018,0,0,0
6/27/2018,0,0,0
6/28/2018,0,0,0
6/29/2018,0,0,0
6/30/2018,0,0,0
7/1/2018,0,0,0
7/2/2018,0,0,0
7/3/2018,0,0,0
7/4/2018,0,0,0
7/5/2018,0,0,0
7/6/2018,0,0,0
7/7/2018,0,0,0
7/8/2018,0,0,0
7/9/2018,0,0,0
7/10/2018,0,0,0
7/11/2018,0,0,0
7/12/2018,0,0,0
7/13/2018,0,0,0
7/14/2018,0,0,0
7/15/2018,0,0,0
7/16/2018,0,0,0
7/17/2018,0,0,0
7/18/2018,0,0,0
7/19/2018,0,0,0
7/20/2018,0,0,0
7/21/2018,0,0,0
7/22/2018,0,0,0
7/23/2018,0,0,0
7/24/2018,0,0,0
7/25/2018,0,0,0
7/26/2018,0,0,0
7/27/2018,0,0,0
7/28/2018,0,0,0
7/29/2018,0,0,0
7/30/2018,0,0,0
7/31/2018,0,0,0
8/1/2018,0,0,0
8/2/2018,0,0,0
8/3/2018,0,0,0
8/4/2018,0,0,0
8/5/2018,0,0,0
8/6/2018,0,0,0
8/7/2018,0,0,0
8/8/2018,0,0,0
8/9/2018,0,0,0
8/10/2018,0,0,0
8/11/2018,0,0,0
8/12/2018,0,0,0
8/13/2018,0,0,0
8/14/2018,0,0,0
8/15/2018,0,0,0
8/16/2018,0,0,0
8/17/2018,0,0,0
8/18/2018,0,0,0
8/19/2018,0,0,0
8/20/2018,0,0,0
8/21/2018,0,0,0
8/22/2018,0,0,0
8/23/2018,0,0,0
8/24/2018,0,0,0
8/25/2018,0,0,0
8/26/2018,0,0,0
8/27/2018,0,0,0
8/28/2018,0,0,0
8/29/2018,0,0,0
8/30/2018,0,0,0
8/31/2018,0,0,0
9/1/2018,0,0,0
9/2/2018,0,0,0
9/3/2018,0,0,0
9/4/2018,0,0,0
9/5/2018,0,0,0
9/6/2018,0,0,0
9/7/2018,0,0,0
9/8/2018,0,0,0
9/9/2018,0,0,0
9/10/2018,0,0,0
9/11/2018,0,0,0
9/12/2018,0,0,0
9/13/2018,0,0,0
9/14/2018,0,0,0
9/15/2018,0,0,0
9/16/2018,0,0,0
9/17/2018,0,0,0
9/18/2018,0,0,0
9/19/2018,0,0,0
9/20/2018,0,0,0
9/21/2018,0,0,0
9/22/2018,0,0,0
9/23/2018,0,2,1
9/24/2018,0,4,2
9/25/2018,0,0,0
9/26/2018,0,0,0
9/27/2018,0,0,0
9/28/2018,0,4,2
9/29/2018,0,1,0.5
9/30/2018,0,0,0
